"q1_2020_v2$member_casual","q1_2020_v2$day_of_week","q1_2020_v2$ride_length"
"1","casual","Sunday",5710.56650544129
"2","member","Sunday",949.340145701245
"3","casual","Monday",5818.34387672334
"4","member","Monday",778.628587116124
"5","casual","Tuesday",5832.35937159079
"6","member","Tuesday",692.032296942459
"7","casual","Wednesday",5132.62257258218
"8","member","Wednesday",699.547087234493
"9","casual","Thursday",8744.65744026485
"10","member","Thursday",693.232541431987
"11","casual","Friday",7907.88831392835
"12","member","Friday",757.324131468934
"13","casual","Saturday",6017.15601604286
"14","member","Saturday",929.989237310591
